# Monthly Runoff (AHPS Computed)
# units: mm over lake
# Original data source://lre-netapp1/LRE1-Public/Public/Share/H&H/WHS/FORECAST/AHPS
# Last modified 2019-09-03 12:47:17 by DA9
#
"year","month","SUP","MIC","HUR","GEO","MIH","STC","ERI","ONT"
"1959","08","38.15","33.15","9.7","48.3","27.49","66.69","9.07","37.35"
"1959","09","44.25","33.96","11.31","81.51","33.82","52.5","17.41","28.56"
"1959","10","54.88","76.2","37.17","137.14","72.56","517.94","92.56","172.48"
"1959","11","43.15","76.2","50.1","182.86","84.44","478.21","89.93","178.33"
"1959","12","35.33","62.66","46.25","184.58","76.72","622.95","104.96","243.15"
"1960","01","30.17","70.95","34.56","126.36","67.33","347.66","107.35","130"
"1960","02","23.14","54.78","25.86","85.39","49.73","455.51","89.22","175.04"
"1960","03","22.51","48.71","35.06","79.35","48.95","339.15","61.07","131.83"
"1960","04","101.15","104.91","101.94","379.51","148.32","1135.22","97.09","461.76"
"1960","05","121.32","126.13","50.23","392.02","142.91","451.25","70.37","231.07"
"1960","06","59.72","69.33","23.99","180.27","71.60","298","49.86","108.76"
"1960","07","39.55","45.48","15.29","119.03","46.94","70.95","23.62","48.34"
"1960","08","35.49","37.6","11.44","68.14","33.50","63.86","14.55","30.76"
"1960","09","34.24","39.82","11.19","69","34.64","59.6","13.6","27.1"
"1960","10","34.08","32.14","14.3","90.13","35.36","79.47","17.18","58.59"
"1960","11","50.81","55.79","28.84","145.77","61.03","198.66","38.17","102.17"
"1960","12","43.15","41.64","18.03","129.81","47.74","58.18","12.17","59.69"
"1961","01","31.42","30.72","14.3","93.15","35.15","183.05","21.95","50.9"
"1961","02","26.58","29.31","32.82","81.08","38.90","435.64","95.66","126.7"
"1961","03","41.12","61.45","53.83","145.77","72.46","621.53","157.68","283.43"
"1961","04","78.33","73.17","43.02","229","87.96","610.18","181.54","264.75"
"1961","05","81.92","62.05","31.58","183.72","71.20","364.69","67.99","202.5"
